,,,,,,,,,,,,,,,,,total unique,total analysed,total missing,total added,total missing and added,net total missing
shop _( xname coffee providing _( food chinese range _( £ _( more 30 )_ price )_ )_ )_ new_sent located _( it riverside )_ new_sent xnear it,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,1,eat Type coffee shop,1,food English,1,price Range moderate,1,customer rating 3 out of 5,1,area riverside,1,family Friendly no,2,added,,,,1,1,0,0,
shop _( xname coffee providing _( food english range _( moderate price )_ )_ )_ new_sent located _( it riverside )_ new_sent 3 _( it rating customer 5 )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,1,eat Type coffee shop,1,food English,1,price Range less than £ 20,1,customer rating low,1,family Friendly no,2,near xnear,1,added,,,,1,1,0,0,
shop _( xname coffee providing _( food english range _( £ _( less 20 )_ price )_ )_ )_ new_sent xnear it new_sent low _( it rating customer )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,1,eat Type coffee shop,1,customer rating average,1,area riverside,1,family Friendly no,1,near xnear,1,added,,,,,,0,0,0,0,
shop _( xname average rated coffee riverside xnear )_ new_sent friendly _( it not family )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,1,eat Type coffee shop,1,food Chinese,1,price Range less than £ 20,1,customer rating low,1,area city centre,1,added,,,,,,0,0,0,0,
shop _( xname coffee providing _( food chinese range _( £ _( less 20 )_ price )_ )_ )_ new_sent located _( it centre city )_ new_sent low _( it rating customer )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,1,eat Type coffee shop,1,food English,2,price Range high,2,customer rating average,2,area riverside,2,added,3,,,,,4,1,1,1,
shop _( xname coffee located _( centre city )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,1,eat Type coffee shop,1,food English,1,customer rating 3 out of 5,1,area riverside,1,family Friendly yes,1,added,,,,,,0,0,0,0,
shop _( xname friendly kid coffee riverside )_ new_sent serves _( it food english has _( and rating _( customer 3 5 )_ )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,1,eat Type coffee shop,1,food English,1,price Range less than £ 20,1,area city centre,1,family Friendly no,2,near xnear,1,added,,,,1,1,0,0,
shop _( xname coffee providing _( food english range _( £ _( less 20 )_ price )_ )_ )_ new_sent located _( it centre city )_ new_sent xnear it,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,1,eat Type coffee shop,1,food Chinese,1,customer rating 5 out of 5,1,area city centre,1,family Friendly yes,2,added,,,,,,1,1,0,0,
shop _( xname coffee providing _( food chinese )_ )_ new_sent located _( it centre city )_ new_sent 5 _( it rating customer 5 )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,1,eat Type coffee shop,1,customer rating low,1,area city centre,1,family Friendly yes,1,near xnear,1,added,,,,,,0,0,0,0,
shop _( xname friendly family coffee xnear centre city )_ new_sent has _( it rating _( low customer )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,1,eat Type coffee shop,1,food English,1,customer rating average,1,area riverside,1,near xnear,1,added,,,,,,0,0,0,0,
shop _( xname coffee located _( riverside xnear )_ )_ new_sent serves _( it food english has _( and rating _( average customer )_ )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,1,eat Type coffee shop,1,food Chinese,1,price Range £ 20 - 25,1,customer rating high,1,family Friendly yes,2,near xnear,1,added,,,,1,1,0,0,
shop _( xname coffee providing _( food chinese range _( £ _( 20 25 )_ price )_ )_ )_ new_sent xnear it new_sent high _( it rating customer )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,1,eat Type coffee shop,1,food English,2,price Range less than £ 20,1,customer rating low,2,area riverside,2,added,3,,,,,3,1,1,1,
shop _( xname priced low coffee located _( centre city )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,1,eat Type coffee shop,1,food English,1,price Range high,1,customer rating average,1,family Friendly no,1,added,,,,,,0,0,0,0,
shop _( xname coffee providing _( food english range _( price high )_ )_ )_ new_sent has _( it rating _( average customer )_ friendly _( and not children )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,1,eat Type coffee shop,1,food English,2,price Range moderate,1,customer rating 3 out of 5,2,near xnear,1,added,,,,,,2,1,0,0,
shop _( xname priced moderately coffee located xnear )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,1,customer rating high,1,area riverside,1,family Friendly yes,1,added,,,,,,,,,,0,0,0,0,
restaurant _( xname friendly kid riverside rating _( high customer )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,1,eat Type coffee shop,1,food Chinese,1,price Range more than £ 30,1,customer rating high,1,area city centre,1,family Friendly yes,2,near xnear,1,added,,1,1,0,0,
shop _( xname coffee providing _( food chinese range _( £ _( more 30 )_ price )_ )_ )_ new_sent located _( it centre city )_ new_sent xnear it new_sent high _( it rating customer )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,1,eat Type coffee shop,1,food Chinese,1,price Range less than £ 20,1,customer rating low,1,area city centre,1,family Friendly no,2,added,,,,1,1,0,0,
shop _( xname coffee providing _( food chinese range _( £ _( less 20 )_ price )_ )_ )_ new_sent located _( it centre city )_ new_sent low _( it rating customer )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,1,eat Type coffee shop,1,food Chinese,1,price Range high,1,area riverside,1,near xnear,1,added,,,,,,0,0,0,0,
shop _( xname coffee providing _( food chinese range _( price high )_ )_ )_ new_sent located _( it riverside )_ new_sent xnear it,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,1,eat Type coffee shop,1,food Chinese,1,price Range high,1,customer rating average,1,area city centre,1,family Friendly yes,2,near xnear,1,added,,1,1,0,0,
shop _( xname coffee providing _( food chinese range _( price high )_ )_ )_ new_sent located _( it centre city )_ new_sent xnear it new_sent average _( rating _( its customer )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,1,area city centre,1,family Friendly no,1,near xnear,1,added,,,,,,,,,,0,0,0,0,
located _( xname centre _( city xnear )_ )_ new_sent friendly _( it not family )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,1,eat Type coffee shop,1,food English,2,price Range high,2,customer rating 1 out of 5,2,area riverside,2,added,3,,,,,4,1,1,1,
shop _( xname coffee located _( centre city )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food Chinese,,price Range more than £ 30,,customer rating high,,area riverside,,near xnear,,added,,,,0,0,0,0,
shop _( xname coffee providing _( food chinese range _( £ _( more 30 )_ price )_ )_ )_ new_sent located _( it riverside )_ new_sent xnear it new_sent high _( it rating customer )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food Chinese,,price Range less than £ 20,,customer rating low,,area city centre,,near xnear,,added,,,,0,0,0,0,
shop _( xname coffee providing _( food chinese range _( £ _( less 20 )_ price )_ )_ )_ new_sent located _( it centre city )_ new_sent xnear it new_sent low _( it rating customer )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food Chinese,,price Range moderate,,customer rating 3 out of 5,,area city centre,,family Friendly no,,added,,,,0,0,0,0,
shop _( xname coffee providing _( food chinese range _( moderate price )_ )_ )_ new_sent located _( it centre city )_ new_sent 3 _( it rating customer 5 )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food English,,customer rating 5 out of 5,,area city centre,,family Friendly no,,near xnear,,added,,,,0,0,0,0,
shop _( xname coffee serves _( food english )_ )_ new_sent has _( it rating _( customer 5 5 )_ friendly _( and not family )_ )_ new_sent located _( it centre _( city xnear )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food English,,price Range cheap,,customer rating 5 out of 5,,area riverside,,family Friendly yes,,near xnear,,added,,0,0,0,0,
shop _( xname friendly family coffee serving _( food english range _( cheap price )_ )_ )_ new_sent located _( it riverside xnear has _( and rating _( customer 5 5 )_ )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food Chinese,,price Range cheap,,customer rating 5 out of 5,,area city centre,,added,,,,,,0,0,0,0,
shop _( xname coffee providing _( food chinese range _( cheap price )_ )_ )_ new_sent located _( it centre city )_ new_sent 5 _( it rating customer 5 )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,customer rating high,,area riverside,,family Friendly yes,,near xnear,,added,,,,,,,,0,0,0,0,
restaurant _( xname friendly kid rating _( high customer )_ )_ new_sent located _( it riverside xnear )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food English,,price Range £ 20 - 25,,customer rating high,,area city centre,,near xnear,,added,,,,0,0,0,0,
shop _( xname coffee serving _( food english range _( price £ _( 20 25 )_ )_ )_ )_ new_sent has _( it rating _( high customer )_ located _( and centre _( city xnear )_ )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food English,,customer rating high,,family Friendly yes,,near xnear,,added,,,,,,0,0,0,0,
shop _( xname friendly kid coffee xnear )_ new_sent serves _( it food english has _( and rating _( high customer )_ )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food English,,price Range high,,area city centre,,family Friendly no,,near xnear,,added,,,,0,0,0,0,
shop _( xname coffee xnear centre city )_ new_sent serves _( it food english range _( price high )_ )_ new_sent friendly _( it not child )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food English,,price Range moderate,,customer rating 1 out of 5,,area city centre,,added,,,,,,0,0,0,0,
shop _( xname coffee providing _( food english range _( moderate price )_ )_ )_ new_sent located _( it centre city )_ new_sent 1 _( rating customer 5 )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food English,,price Range moderate,,customer rating 1 out of 5,,family Friendly yes,,added,,,,,,0,0,0,0,
shop _( xname friendly kid coffee serving _( food english range _( moderate price )_ )_ )_ new_sent has _( it rating _( customer 1 5 )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,customer rating low,,area riverside,,family Friendly no,,added,,,,,,,,,,0,0,0,0,
restaurant _( xname friendly _( non family )_ rating _( low customer )_ )_ new_sent located _( it riverside )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food Chinese,,price Range more than £ 30,,customer rating high,,area riverside,,family Friendly no,,near xnear,,added,,0,0,0,0,
shop _( xname coffee providing _( food chinese range _( £ _( more 30 )_ price )_ )_ )_ new_sent located _( it riverside )_ new_sent xnear it new_sent high _( it rating customer )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food Chinese,,price Range high,,customer rating average,,area riverside,,added,,,,,,0,0,0,0,
shop _( xname coffee providing _( food chinese range _( price high )_ )_ )_ new_sent located _( it riverside )_ new_sent average _( rating _( its customer )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food Chinese,,price Range high,,customer rating average,,family Friendly no,,near xnear,,added,,,,0,0,0,0,
shop _( xname coffee providing _( food chinese range _( price high )_ )_ )_ new_sent xnear it new_sent average _( rating _( its customer )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food English,,price Range less than £ 20,,customer rating low,,area riverside,,family Friendly yes,,added,,,,0,0,0,0,
shop _( xname friendly family coffee located _( centre city )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food Chinese,,price Range more than £ 30,,area riverside,,near xnear,,added,,,,,,0,0,0,0,
shop _( xname coffee providing _( food chinese range _( £ _( more 30 )_ price )_ )_ )_ new_sent located _( it riverside )_ new_sent xnear it,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,area riverside,,family Friendly yes,,added,,,,,,,,,,,,0,0,0,0,
restaurant _( xname friendly family riverside )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food English,,price Range £ 20 - 25,,customer rating high,,area city centre,,family Friendly yes,,added,,,,0,0,0,0,
shop _( xname friendly kid coffee located _( centre city )_ )_ new_sent serves _( it food english range _( £ _( 20 25 )_ price )_ has _( and rating _( high customer )_ )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,customer rating 5 out of 5,,area riverside,,family Friendly yes,,near xnear,,added,,,,,,0,0,0,0,
shop _( xname friendly family coffee located _( riverside xnear )_ )_ new_sent has _( it rating _( customer 5 5 )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food English,,price Range £ 20 - 25,,customer rating high,,area city centre,,family Friendly yes,,near xnear,,added,,0,0,0,0,
shop _( xname friendly kid coffee serving _( food english range _( price £ _( 20 25 )_ )_ )_ )_ new_sent located _( it centre _( city xnear )_ has _( and rating _( high customer )_ )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,customer rating 1 out of 5,,area riverside,,family Friendly yes,,added,,,,,,,,,,0,0,0,0,
restaurant _( xname friendly kid riverside rating _( customer 1 5 )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food English,,price Range high,,customer rating 1 out of 5,,area riverside,,family Friendly yes,,near xnear,,added,,0,0,0,0,
shop _( xname friendly family coffee located xnear )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,area city centre,,near xnear,,added,,,,,,,,,,,,0,0,0,0,
located _( xname centre _( city xnear )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food Chinese,,customer rating 5 out of 5,,area riverside,,family Friendly no,,near xnear,,added,,,,0,0,0,0,
shop _( xname coffee providing _( food chinese )_ )_ new_sent located _( it riverside )_ new_sent xnear it new_sent 5 _( it rating customer 5 )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food English,,price Range cheap,,customer rating 5 out of 5,,area riverside,,family Friendly no,,near xnear,,added,,0,0,0,0,
shop _( xname cheap coffee located _( riverside xnear )_ )_ new_sent serves _( it food english has _( and rating _( customer 5 5 )_ )_ )_ new_sent friendly _( it not family )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food Chinese,,price Range more than £ 30,,customer rating high,,area riverside,,family Friendly no,,added,,,,0,0,0,0,
shop _( xname coffee providing _( food chinese range _( £ _( more 30 )_ price )_ )_ )_ new_sent located _( it riverside )_ new_sent high _( it rating customer )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,customer rating 1 out of 5,,near xnear,,added,,,,,,,,,,,,0,0,0,0,
has _( xname rating _( customer 1 5 )_ located _( and xnear )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,customer rating low,,area riverside,,added,,,,,,,,,,,,0,0,0,0,
has _( xname riverside rating _( low customer )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,customer rating 1 out of 5,,family Friendly yes,,near xnear,,added,,,,,,,,,,0,0,0,0,
has _( xname xnear rating _( customer 1 5 )_ friendly _( and child )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food Chinese,,price Range cheap,,customer rating average,,family Friendly yes,,added,,,,,,0,0,0,0,
shop _( xname coffee providing _( food chinese range _( cheap price )_ )_ )_ new_sent average _( rating _( its customer )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food Chinese,,customer rating high,,family Friendly yes,,near xnear,,added,,,,,,0,0,0,0,
shop _( xname coffee providing _( food chinese )_ )_ new_sent xnear it new_sent high _( it rating customer )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food English,,area riverside,,family Friendly yes,,near xnear,,added,,,,,,0,0,0,0,
shop _( xname friendly family coffee serves _( food english )_ )_ new_sent located _( it riverside xnear )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food English,,price Range less than £ 20,,customer rating low,,family Friendly no,,added,,,,,,0,0,0,0,
shop _( xname coffee providing _( food english range _( £ _( less 20 )_ price )_ )_ )_ new_sent has _( it rating _( low customer )_ friendly _( and not family )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food English,,price Range moderate,,customer rating 1 out of 5,,area riverside,,added,,,,,,0,0,0,0,
shop _( xname coffee located _( centre city )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,customer rating 5 out of 5,,area city centre,,added,,,,,,,,,,,,0,0,0,0,
restaurant _( xname rated highly centre city )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food Chinese,,price Range cheap,,customer rating 5 out of 5,,area city centre,,family Friendly yes,,added,,,,0,0,0,0,
shop _( xname coffee providing _( food chinese range _( cheap price )_ )_ )_ new_sent located _( it centre city )_ new_sent 5 _( it rating customer 5 )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food English,,price Range cheap,,customer rating 5 out of 5,,family Friendly yes,,near xnear,,added,,,,0,0,0,0,
shop _( xname cheap friendly family coffee located xnear )_ new_sent serves _( it food english has _( and rating _( customer 5 5 )_ )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food English,,price Range cheap,,customer rating 5 out of 5,,area riverside,,family Friendly yes,,added,,,,0,0,0,0,
shop _( xname cheap friendly family coffee located _( centre city )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food Chinese,,price Range cheap,,area riverside,,near xnear,,added,,,,,,0,0,0,0,
shop _( xname coffee providing _( food chinese range _( cheap price )_ )_ )_ new_sent located _( it riverside )_ new_sent xnear it,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food Chinese,,customer rating 5 out of 5,,area riverside,,family Friendly yes,,added,,,,,,0,0,0,0,
shop _( xname coffee providing _( food chinese )_ )_ new_sent located _( it riverside )_ new_sent 5 _( it rating customer 5 )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food English,,customer rating low,,area riverside,,family Friendly yes,,added,,,,,,0,0,0,0,
shop _( xname friendly family coffee located _( centre city )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food Chinese,,price Range high,,customer rating 1 out of 5,,area riverside,,added,,,,,,0,0,0,0,
shop _( xname coffee providing _( food chinese range _( price high )_ )_ )_ new_sent located _( it riverside )_ new_sent 1 _( it 5 _( rating customer )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,customer rating 5 out of 5,,area city centre,,family Friendly yes,,near xnear,,added,,,,,,,,0,0,0,0,
restaurant _( xname friendly family centre _( city xnear )_ )_ new_sent has _( it rating _( customer 5 5 )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food English,,price Range high,,customer rating average,,area riverside,,near xnear,,added,,,,0,0,0,0,
shop _( xname priced high coffee located xnear )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food English,,area riverside,,family Friendly no,,near xnear,,added,,,,,,0,0,0,0,
shop _( xname coffee xnear area riverside )_ new_sent serves _( it food english friendly _( and not family )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food English,,price Range cheap,,customer rating average,,area riverside,,family Friendly no,,added,,,,0,0,0,0,
shop _( xname friendly _( non family )_ coffee located _( riverside serving _( food _( cheap english )_ )_ )_ )_ new_sent has _( it rating _( average customer )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food Chinese,,price Range less than £ 20,,area riverside,,family Friendly no,,near xnear,,added,,,,0,0,0,0,
shop _( xname coffee providing _( food chinese range _( £ _( less 20 )_ price )_ )_ )_ new_sent located _( it riverside )_ new_sent xnear it,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food English,,price Range £ 20 - 25,,customer rating high,,area riverside,,family Friendly yes,,near xnear,,added,,0,0,0,0,
shop _( xname friendly kid coffee serving _( food english range _( price £ _( 20 25 )_ )_ )_ )_ new_sent located _( it riverside xnear has _( and rating _( high customer )_ )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food English,,price Range cheap,,area riverside,,family Friendly yes,,near xnear,,added,,,,0,0,0,0,
shop _( xname cheap friendly family coffee serves _( food english )_ )_ new_sent located _( it riverside xnear )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food Chinese,,price Range £ 20 - 25,,customer rating high,,near xnear,,added,,,,,,0,0,0,0,
shop _( xname coffee providing _( food chinese range _( £ _( 20 25 )_ price )_ )_ )_ new_sent xnear it new_sent high _( it rating customer )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food Chinese,,price Range £ 20 - 25,,customer rating high,,family Friendly no,,near xnear,,added,,,,0,0,0,0,
shop _( xname coffee providing _( food chinese range _( £ _( 20 25 )_ price )_ )_ )_ new_sent xnear it new_sent high _( it rating customer )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food Chinese,,price Range moderate,,customer rating 1 out of 5,,area city centre,,family Friendly yes,,added,,,,0,0,0,0,
shop _( xname coffee providing _( food chinese range _( moderate price )_ )_ )_ new_sent located _( it centre city )_ new_sent 1 _( it 5 _( rating customer )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food English,,price Range less than £ 20,,customer rating low,,near xnear,,added,,,,,,0,0,0,0,
shop _( xname coffee providing _( food english range _( £ _( less 20 )_ price )_ )_ )_ new_sent xnear it new_sent low _( it rating customer )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,customer rating low,,family Friendly yes,,added,,,,,,,,,,,,0,0,0,0,
restaurant _( xname friendly family rating _( low customer )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food English,,price Range more than £ 30,,customer rating high,,area city centre,,added,,,,,,0,0,0,0,
shop _( xname rated highly coffee centre _( city serves _( food english £ _( more 30 )_ )_ )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food English,,customer rating average,,area city centre,,family Friendly yes,,near xnear,,added,,,,0,0,0,0,
shop _( xname friendly family coffee serving _( food english )_ )_ new_sent has _( it rating _( average customer )_ located _( and centre _( city xnear )_ )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,customer rating 3 out of 5,,area riverside,,family Friendly yes,,added,,,,,,,,,,0,0,0,0,
restaurant _( xname friendly kid riverside rating _( customer 3 5 )_ )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food Chinese,,price Range more than £ 30,,customer rating high,,family Friendly no,,near xnear,,added,,,,0,0,0,0,
shop _( xname coffee providing _( food chinese range _( £ _( more 30 )_ price )_ )_ )_ new_sent xnear it new_sent high _( it rating customer )_,,,,,,,,,,,,,,,,,,0,0,0,0,
,,,,,,,,,,,,,,,,,,0,0,0,0,
name xname,,eat Type coffee shop,,food English,,price Range moderate,,customer rating 1 out of 5,,area city centre,,near xnear,,added,,,,0,0,0,0,
